variavel;dirty;clean;similaridade
CO_CNS_MEDICO;d51fcca8ef5fd7914def511caa9d69d6;INDEFINIDO;0,32959431670863
CO_CNS_MEDICO;71799ba448f32ddfbacac57717f4d770;SEM INFORMACAO;0,325810957293508
CO_CNS_MEDICO;ad4a1ae969fe4bc120aca3015d680187;SEM INFORMACAO;0,325810957293508
DS_DESTINO;Alta Administrativa;FALTANTE;0,495677695040149
DS_DESTINO;Alta Clinica;SEM DEFINICAO;0,416750737206727
DS_DESTINO;Internacao em Urgencia;SEM INFORMACAO;0,375792838811412
DS_DESTINO;Permanencia;NAO INFORMADO;0,286330728541384
DS_DESTINO;Internacao Hospitalar;SEM INFORMACAO;0,25712975328859
DS_ORIGEM;Atencao Basica;SEM DEFINICAO;0,346840763234805
DS_ORIGEM;Servico de Urgencia;SEM DEFINICAO;0,333451314982904
DS_ORIGEM;Internacao Hospitalar;SEM INFORMACAO;0,25712975328859
NO_CID_CAUSAS_ASSOCIADAS;Neoplasia de comportamento incerto ou desconhecido da prostata;DESCONHECIDO;0,774539101100174
NO_CID_CAUSAS_ASSOCIADAS;Varizes dos membros inferiores sem ulcera ou inflamacao;SEM INFORMACAO;0,691848384121092
NO_CID_CAUSAS_ASSOCIADAS;Outras afeccoes localizadas do tecido conjuntivo;DESCONHECIDO;0,632455532033676
NO_CID_CAUSAS_ASSOCIADAS;Fratura do membro inferior, nivel nao especificado;NAO INFORMADO;0,628023413290178
NO_CID_CAUSAS_ASSOCIADAS;Epilepsia e sindromes epilepticas sintomaticas definidas por sua localizacao (focal) (parcial) com c;SEM DEFINICAO;0,617700273508778
NO_CID_CAUSAS_ASSOCIADAS;Varizes dos membros inferiores com ulcera e inflamacao;SEM INFORMACAO;0,590939815519726
NO_CID_CAUSAS_ASSOCIADAS;Doenca de Chagas (cronica) com comprometimento do aparelho digestivo;SEM DEFINICAO;0,577554619401044
NO_CID_CAUSAS_ASSOCIADAS;Fasciite necrosante;FALTANTE;0,577350269189626
NO_CID_CAUSAS_ASSOCIADAS;Abscesso cutaneo, furunculo e antraz;FALTANTE;0,577350269189626
NO_CID_CAUSAS_ASSOCIADAS;Traumatismo superficial do cotovelo e do antebraco;FALTANTE;0,577350269189626
