variavel;dirty;clean;similaridade
CO_CNS_MEDICO;5bffaa1ed2a753cf64824def7ec1178b;INDEFINIDO;0,32959431670863
CO_CNS_MEDICO;677e84157e2a4860950fd89defdcbfc2;INDEFINIDO;0,32959431670863
CO_CNS_MEDICO;ee807bd9e68c64c7234a576f3fdef6a4;INDEFINIDO;0,32959431670863
CO_CNS_MEDICO;dd0e2d4e29f4defd6e5ad9d53b13886d;INDEFINIDO;0,32959431670863
CO_CNS_MEDICO;f134a505cc4693be3efc1defae471626;INDEFINIDO;0,32959431670863
CO_CNS_MEDICO;6bcbb370e263a9cdbd45defccf76e9a4;INDEFINIDO;0,32959431670863
CO_CNS_MEDICO;1d653b3adbcfadedefae848e87511f53;INDEFINIDO;0,32959431670863
CO_CNS_MEDICO;d6c0794b689c20aeea723cad46def162;INDEFINIDO;0,32959431670863
CO_CNS_MEDICO;8dc5b0cc3090298ad20b4043d13c8def;INDEFINIDO;0,32959431670863
CO_CNS_MEDICO;7678c30e9043c2cd5d27edac021faca3;SEM INFORMACAO;0,325810957293508
CO_CNS_MEDICO;514b63272cce82bdc0aaca73a3ecf660;SEM INFORMACAO;0,325810957293508
CO_CNS_MEDICO;70acab01eba86e99298daf00e1241313;SEM INFORMACAO;0,325810957293508
CO_CNS_MEDICO;ab1f46d8ec25909fa2e774b5aacaa0d2;SEM INFORMACAO;0,325810957293508
CO_CNS_MEDICO;812cc788bd88ad77c5113eaca42d2b8a;SEM INFORMACAO;0,325810957293508
DS_DESTINO;Alta Administrativa;FALTANTE;0,495677695040149
DS_DESTINO;Alta Clinica;SEM DEFINICAO;0,416750737206727
DS_DESTINO;Internacao em Urgencia;SEM INFORMACAO;0,375792838811412
DS_DESTINO;Permanencia;NAO INFORMADO;0,286330728541384
DS_PRONTUARIO;A INFAN;NAO INFORMADO;0,404932799627394
NO_CID_CAUSAS_ASSOCIADAS;Neoplasia de comportamento incerto ou desconhecido dos orgaos urinarios;DESCONHECIDO;0,774539101100174
NO_CID_CAUSAS_ASSOCIADAS;Causas desconhecidas e nao especificadas de morbidade;DESCONHECIDO;0,71588310741167
NO_CID_CAUSAS_ASSOCIADAS;Epilepsia e sindromes epilepticas idiopaticas definidas por sua localizacao (focal) (parcial) com cr;SEM DEFINICAO;0,617700273508778
NO_CID_CAUSAS_ASSOCIADAS;Epilepsia e sindromes epilepticas sintomaticas definidas por sua localizacao (focal) (parcial) com c;SEM DEFINICAO;0,617700273508778
NO_CID_CAUSAS_ASSOCIADAS;Retardo mental moderado;DESCONSIDERADO;0,560195355398637
